title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Transgenerational effect of mutants in the RNA-directed DNA methylation pathway on the triploid block in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02359-2,2021,True,True,False,False,False,False
HDAC4 degradation during senescence unleashes an epigenetic program driven by AP-1/p300 at selected enhancers and super-enhancers,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02340-z,2021,True,True,True,False,False,False
Gene set enrichment analysis for genome-wide DNA methylation data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02388-x,2021,True,True,True,True,False,False
Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02398-9,2021,True,True,True,False,True,False
"PRINCESS: comprehensive detection of haplotype resolved SNVs, SVs, and methylation",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02486-w,2021,True,False,False,False,False,False
Revisiting genetic artifacts on DNA methylation microarrays exposes novel biological implications,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02484-y,2021,True,True,True,False,False,False
Epigenetic dynamics shaping melanophore and iridophore cell fate in zebrafish,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02493-x,2021,True,True,True,False,False,False
Heterochromatin: did H3K9 methylation evolve to tame transposons?,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02550-5,2021,True,False,False,False,False,False
The SEQC2 epigenomics quality control (EpiQC) study,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02529-2,2021,True,True,False,True,False,False
Functional genomics analysis identifies T and NK cell activation as a driver of epigenetic clock progression,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02585-8,2022,True,True,True,False,True,False
Epigenomic analysis reveals a dynamic and context-specific macrophage enhancer landscape associated with innate immune activation and tolerance,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02702-1,2022,True,True,True,False,True,False
Author Correction: Susceptibility to hormone-mediated cancer is reflected by different tick rates of the epithelial and general epigenetic clock,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02704-z,2022,True,False,False,False,False,False
Local CpG density affects the trajectory and variance of age-associated DNA methylation changes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02787-8,2022,True,True,True,True,True,False
iDNA-ABF: multi-scale deep biological language learning model for the interpretable prediction of DNA methylations,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02780-1,2022,True,False,False,False,False,False
Significant variation in the performance of DNA methylation predictors across data preprocessing and normalization strategies,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02793-w,2022,True,False,False,False,True,False
scTAM-seq enables targeted high-confidence analysis of DNA methylation in single cells,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02796-7,2022,True,True,True,False,False,False
Systemic interindividual epigenetic variation in humans is associated with transposable elements and under strong genetic control,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02827-3,2023,True,False,True,False,True,False
"NOMe-HiC: joint profiling of genetic variant, DNA methylation, chromatin accessibility, and 3D genome in the same DNA molecule",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02889-x,2023,True,False,True,True,False,False
Author Correction: DNA methylation entropy as a measure of stem cell replication and aging,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02943-8,2023,True,False,False,False,False,False
DDM1-mediated gene body DNA methylation is associated with inducible activation of defense-related genes in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02952-7,2023,True,True,True,False,False,False
CimpleG: finding simple CpG methylation signatures,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03000-0,2023,True,True,False,False,False,False
ChromGene: gene-based modeling of epigenomic data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03041-5,2023,True,False,True,False,True,False
Methylation-directed regulatory networks determine enhancing and silencing of mutation disease driver genes and explain inter-patient expression variation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03094-6,2023,True,True,True,False,False,False
Modeling methyl-sensitive transcription factor motifs with an expanded epigenetic alphabet,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-03070-0,2024,True,True,True,False,False,False
A comparison of methods for detecting DNA methylation from long-read sequencing of human genomes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03207-9,2024,True,True,False,False,False,False
Multi-omics provide insights into the regulation of DNA methylation in pear fruit metabolism,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03200-2,2024,True,False,True,False,False,False
CelFiE-ISH: a probabilistic model for multi-cell type deconvolution from single-molecule DNA methylation haplotypes,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03275-x,2024,True,False,False,False,False,False
DNA methylation variations underlie lettuce domestication and divergence,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03310-x,2024,True,True,True,True,False,False
Epigenomic identification of vernalization ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03342-3,2024,True,True,False,False,False,False
Transcriptional and epigenetic characterization of a new in vitro platform to model the formation of human pharyngeal endoderm,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03354-z,2024,True,True,True,False,False,False
Annelid methylomes reveal ancestral developmental and aging-associated epigenetic erosion across Bilateria,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03346-z,2024,True,True,True,False,False,False
Improved detection of methylation in ancient DNA,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03405-5,2024,True,True,False,False,False,False
"Systematic perturbations of SETD2, NSD1, NSD2, NSD3, and ASH1L reveal their distinct contributions to H3K36 methylation",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03415-3,2024,True,True,True,False,False,False
HBI: a hierarchical Bayesian interaction model to estimate cell-type-specific methylation quantitative trait loci incorporating priors from cell-sorted bisulfite sequencing data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03411-7,2024,True,True,True,True,True,False
EpiGePT: a pretrained transformer-based language model for context-specific human epigenomics,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03449-7,2024,True,True,False,False,False,False
EpiCHAOS: a metric to quantify epigenomic heterogeneity in single-cell data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03446-w,2024,True,True,False,False,False,False
Systematic evaluation of methylation-based cell type deconvolution methods for plasma cell-free DNA,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03456-8,2024,True,True,False,False,False,False
vmrseq: probabilistic modeling of single-cell methylation heterogeneity,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-024-03457-7,2024,True,False,True,False,False,False
