title,link,publication_year,mentions_bh,mentions_bonferroni,mentions_by
Interplay of gene expression and regulators under salinity stress in gill of ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09426-x,2023,False,False,False
Quantitative proteomics and phosphoproteomics reveal insights into mechanisms of ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09386-2,2023,False,False,False
Unraveling transcriptomics of sorghum grain carotenoids: a step forward for biofortification,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09323-3,2023,False,False,False
Transcriptome-wide analysis of RNA m,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09346-w,2023,False,False,False
Genomic adaptation to extreme climate conditions in beef cattle as a consequence of cross-breeding program,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09235-2,2023,False,True,False
Maternal patterns of inheritance alter transcript expression in eggs,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09291-8,2023,True,False,False
Metabolomics and transcriptomics strategies to reveal the mechanism of diversity of maize kernel color and quality,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09272-x,2023,False,False,False
Transcriptomic profiles of the ruminal wall in Italian Mediterranean dairy buffaloes fed green forage,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09215-6,2023,True,False,False
High-throughput time series expression profiling of ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09214-7,2023,False,False,False
Transcriptomic profiling of the developing brain revealed cell-type and brain-region specificity in a mouse model of prenatal stress,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09186-8,2023,True,False,False
Comparative analysis of two kinds of garlic seedings: qualities and transcriptional landscape,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09183-x,2023,False,False,False
Brain fatty acid and transcriptome profiles of pig fed diets with different levels of soybean oil,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09188-6,2023,False,False,False
Transcriptomic changes in single yeast cells under various stress conditions,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09184-w,2023,True,False,False
Analysis of structural variation among inbred mouse strains,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09197-5,2023,False,False,False
Contribution of RdDM to the ecotype-specific differential methylation on conserved as well as highly variable regions between Arabidopsis ecotypes,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-023-09128-4,2023,False,False,False
"Global transcriptome profiling reveals differential regulatory, metabolic and hormonal networks during somatic embryogenesis in ",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09098-z,2023,False,False,False
Transcriptomic analysis reveals the formation mechanism of anemone-type flower in chrysanthemum,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09078-3,2022,False,False,False
Analysis of differentially expressed long non-coding RNAs in LPS-induced human HMC3 microglial cells,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09083-6,2022,False,False,False
Differential Grainy head binding correlates with variation in chromatin structure and gene expression in ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09082-7,2022,True,False,False
Comparative epigenomics by machine learning approach for neuroblastoma,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09061-y,2022,False,False,False
Comprehensive analysis of pre-mRNA alternative splicing regulated by m6A methylation in pig oxidative and glycolytic skeletal muscles,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-09043-0,2022,True,False,False
Wochenende — modular and flexible alignment-based shotgun metagenome analysis,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08985-9,2022,False,False,False
Nutritional and metabolic process of the dung beetle ,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08982-y,2022,False,False,True
Early changes in gene expression profiles in AML patients during induction chemotherapy,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08960-4,2022,False,False,False
Systematic investigation of imprinted gene expression and enrichment in the mouse brain explored at single-cell resolution,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08986-8,2022,False,True,False
The long non-coding RNA lncMYOZ2 mediates an AHCY/MYOZ2 axis to promote adipogenic differentiation in porcine preadipocytes,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08923-9,2022,False,False,False
Comprehensive analysis of TCGA data reveals correlation between DNA methylation and alternative splicing,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08992-w,2022,True,True,False
Comparison of meiotic transcriptomes of three maize inbreds with different origins reveals differences in cell cycle and recombination,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08922-w,2022,False,False,False
