title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Coordinated inheritance of extrachromosomal DNAs in cancer cells,https://www.nature.com/articles/s41586-024-07861-8,2024,True,True,False,False,False,False
Adipose tissue retains an epigenetic memory of obesity after weight loss,https://www.nature.com/articles/s41586-024-08165-7,2024,True,True,True,False,True,False
A multi-omic atlas of human embryonic skeletal development,https://www.nature.com/articles/s41586-024-08189-z,2024,True,True,True,True,False,False
A map of ,https://www.nature.com/articles/s41586-020-2962-9,2020,True,True,True,False,False,False
Interleukin-15-armoured GPC3 CAR T cells for patients with solid cancers,https://www.nature.com/articles/s41586-024-08261-8,2024,True,True,True,False,False,False
Ageing limits stemness and tumorigenesis by reprogramming iron homeostasis,https://www.nature.com/articles/s41586-024-08285-0,2024,True,True,True,False,False,False
MSL2 ensures biallelic gene expression in mammals,https://www.nature.com/articles/s41586-023-06781-3,2023,True,True,True,False,False,False
The social and structural architecture of the yeast protein interactome,https://www.nature.com/articles/s41586-023-06739-5,2023,True,False,True,False,False,False
Single-cell CRISPR screens in vivo map T cell fate regulomes in cancer,https://www.nature.com/articles/s41586-023-06733-x,2023,True,True,True,False,False,False
Epigenetic regulation during cancer transitions across 11 tumour types,https://www.nature.com/articles/s41586-023-06682-5,2023,True,True,True,False,True,False
Ultra-fast deep-learned CNS tumour classification during surgery,https://www.nature.com/articles/s41586-023-06615-2,2023,True,False,False,False,False,False
Inhibition of fatty acid oxidation enables heart regeneration in adult mice,https://www.nature.com/articles/s41586-023-06585-5,2023,True,True,True,False,False,False
Acetyl-methyllysine marks chromatin at active transcription start sites,https://www.nature.com/articles/s41586-023-06565-9,2023,True,True,True,False,False,False
H1 histones control the epigenetic landscape by local chromatin compaction,https://www.nature.com/articles/s41586-020-3032-z,2020,True,True,True,False,False,False
Transient naive reprogramming corrects hiPS cells functionally and epigenetically,https://www.nature.com/articles/s41586-023-06424-7,2023,True,False,True,False,False,False
Rewiring cancer drivers to activate apoptosis,https://www.nature.com/articles/s41586-023-06348-2,2023,True,True,True,False,False,False
Diverse modes of H3K36me3-guided nucleosomal deacetylation by Rpd3S,https://www.nature.com/articles/s41586-023-06349-1,2023,True,False,False,False,False,False
Evolutionary histories of breast cancer and related clones,https://www.nature.com/articles/s41586-023-06333-9,2023,True,True,True,False,False,False
RNA polymerase II associates with active genes during DNA replication,https://www.nature.com/articles/s41586-023-06341-9,2023,True,True,False,False,False,False
Epigenetic dysregulation from chromosomal transit in micronuclei,https://www.nature.com/articles/s41586-023-06084-7,2023,True,True,True,False,False,False
Heritable transcriptional defects from aberrations of nuclear architecture,https://www.nature.com/articles/s41586-023-06157-7,2023,True,False,True,False,True,False
Histone modifications regulate pioneer transcription factor cooperativity,https://www.nature.com/articles/s41586-023-06112-6,2023,True,False,False,False,False,False
Mitotic bookmarking by SWI/SNF subunits,https://www.nature.com/articles/s41586-023-06085-6,2023,True,True,True,False,False,False
Widespread somatic L1 retrotransposition in normal colorectal epithelium,https://www.nature.com/articles/s41586-023-06046-z,2023,True,True,False,False,False,False
Genomic–transcriptomic evolution in lung cancer and metastasis,https://www.nature.com/articles/s41586-023-05706-4,2023,True,True,True,False,False,False
A druggable copper-signalling pathway that drives inflammation,https://www.nature.com/articles/s41586-023-06017-4,2023,True,True,True,False,False,False
Tracking chromatin state changes using nanoscale photo-proximity labelling,https://www.nature.com/articles/s41586-023-05914-y,2023,True,False,True,False,False,False
Spatial epigenome–transcriptome co-profiling of mammalian tissues,https://www.nature.com/articles/s41586-023-05795-1,2023,True,True,True,False,False,False
Whole-genome doubling drives oncogenic loss of chromatin segregation,https://www.nature.com/articles/s41586-023-05794-2,2023,True,True,False,False,False,False
The menin inhibitor revumenib in ,https://www.nature.com/articles/s41586-023-05812-3,2023,True,False,True,False,False,False
H3K4me3 regulates RNA polymerase II promoter-proximal pause-release,https://www.nature.com/articles/s41586-023-05780-8,2023,True,True,True,False,False,False
TET2 guards against unchecked BATF3-induced CAR T cell expansion,https://www.nature.com/articles/s41586-022-05692-z,2023,True,True,True,False,False,False
mRNA ageing shapes the Cap2 methylome in mammalian mRNA,https://www.nature.com/articles/s41586-022-05668-z,2023,True,True,True,False,True,False
Telomere-to-mitochondria signalling by ZBP1 mediates replicative crisis,https://www.nature.com/articles/s41586-023-05710-8,2023,True,True,True,False,False,False
Annelid functional genomics reveal the origins of bilaterian life cycles,https://www.nature.com/articles/s41586-022-05636-7,2023,True,True,True,False,True,False
Functional T cells are capable of supernumerary cell division and longevity,https://www.nature.com/articles/s41586-022-05626-9,2023,True,True,True,False,False,False
Structures and mechanisms of tRNA methylation by METTL1–WDR4,https://www.nature.com/articles/s41586-022-05565-5,2023,True,False,False,False,False,False
A DNA methylation atlas of normal human cell types,https://www.nature.com/articles/s41586-022-05580-6,2023,True,False,True,False,False,False
Histone H1 loss drives lymphoma by disrupting 3D chromatin architecture,https://www.nature.com/articles/s41586-020-3017-y,2020,True,True,True,False,False,False
Central control of dynamic gene circuits governs T cell rest and activation,https://www.nature.com/articles/s41586-024-08314-y,2024,True,True,True,False,True,False
Slide-tags enables single-nucleus barcoding for multimodal spatial genomics,https://www.nature.com/articles/s41586-023-06837-4,2023,True,True,False,False,False,False
Brain-wide correspondence of neuronal epigenomics and distant projections,https://www.nature.com/articles/s41586-023-06823-w,2023,True,True,True,False,False,False
In vitro production of cat-restricted ,https://www.nature.com/articles/s41586-023-06821-y,2023,True,True,True,False,False,False
Single-cell DNA methylome and 3D multi-omic atlas of the adult mouse brain,https://www.nature.com/articles/s41586-023-06805-y,2023,True,True,True,False,False,False
Conserved and divergent gene regulatory programs of the mammalian neocortex,https://www.nature.com/articles/s41586-023-06819-6,2023,True,True,True,False,False,False
Molecular basis of nucleosomal H3K36 methylation by NSD methyltransferases,https://www.nature.com/articles/s41586-020-03069-8,2020,True,True,True,False,False,False
BRD8 maintains glioblastoma by epigenetic reprogramming of the p53 network,https://www.nature.com/articles/s41586-022-05551-x,2022,True,False,True,False,False,False
Experimental evidence for recovery of mercury-contaminated fish populations,https://www.nature.com/articles/s41586-021-04222-7,2021,True,True,False,False,False,False
CRISPR screens unveil signal hubs for nutrient licensing of T cell immunity,https://www.nature.com/articles/s41586-021-04109-7,2021,True,True,True,True,False,False
PD-1,https://www.nature.com/articles/s41586-022-05192-0,2022,True,True,True,False,False,False
Single-cell epigenomics reveals mechanisms of human cortical development,https://www.nature.com/articles/s41586-021-03209-8,2021,True,True,True,False,True,False
DNA methylation atlas of the mouse brain at single-cell resolution,https://www.nature.com/articles/s41586-020-03182-8,2021,True,True,True,False,False,False
Epigenomic diversity of cortical projection neurons in the mouse brain,https://www.nature.com/articles/s41586-021-03223-w,2021,True,True,True,False,False,False
Spatially resolved cell atlas of the mouse primary motor cortex by MERFISH,https://www.nature.com/articles/s41586-021-03705-x,2021,True,True,False,False,False,False
Genetic and epigenetic coordination of cortical interneuron development,https://www.nature.com/articles/s41586-021-03933-1,2021,True,True,False,False,False,False
