title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
CRISPRepi: a multi-omic atlas for CRISPR-based epigenome editing,https://academic.oup.com/nar/article/53/D1/D901/7893324,2025,True,False,False,False,False,False
Update of the FANTOM web resource: enhancement for studying noncoding genomes,https://academic.oup.com/nar/article/53/D1/D419/7906234,2025,True,False,False,False,False,False
EXPRESSO: a multi-omics database to explore multi-layered 3D genomic organization,https://academic.oup.com/nar/article/53/D1/D79/7875983,2025,True,False,False,False,False,False
Comprehensive genome annotation of the model ciliate,https://academic.oup.com/nar/article/53/2/gkae1177/7919455,2025,True,False,False,False,False,False
Distinct structural and functional heterochromatin partitioning of lamin B1 and lamin B2 revealed using genome-wide nicking enzyme epitope targeted DNA sequencing,https://academic.oup.com/nar/article/53/2/gkae1317/7958221,2025,True,False,False,False,False,False
Downregulation of MLF1 safeguards cardiomyocytes against senescence-associated chromatin opening,https://academic.oup.com/nar/article/53/2/gkae1176/7919447,2025,True,True,False,False,False,False
BASAL: a universal mapping algorithm for nucleotide base-conversion sequencing,https://academic.oup.com/nar/article/53/2/gkae1201/7919998,2025,True,True,True,False,False,False
RNA binding by Periphilin plays an essential role in initiating silencing by the HUSH complex,https://academic.oup.com/nar/article/53/2/gkae1165/7920048,2025,True,False,False,False,False,False
Reinforcement of transcriptional silencing by a positive feedback between DNA methylation and non-coding transcription,https://academic.oup.com/nar/article/49/17/9799/6362093,2021,True,False,True,False,False,False
AtHDA6 functions as an H3K18ac eraser to maintain pericentromeric CHG methylation in,https://academic.oup.com/nar/article/49/17/9755/6353814,2021,True,False,False,False,False,False
Epigenetic remodelling of enhancers in response to estrogen deprivation and re-stimulation,https://academic.oup.com/nar/article/49/17/9738/6353813,2021,True,True,False,False,False,False
Visualization and characterization of RNA–protein interactions in living cells,https://academic.oup.com/nar/article/49/18/e107/6329119,2021,True,True,False,False,False,False
Fusarium BP1 is a reader of H3K27 methylation,https://academic.oup.com/nar/article/49/18/10448/6376037,2021,True,False,False,False,False,False
Integrative analysis of epigenetics data identifies gene-specific regulatory elements,https://academic.oup.com/nar/article/49/18/10397/6368526,2021,True,False,False,False,False,True
Rapid identification of methylase specificity (RIMS-seq) jointly identifies methylated motifs and generates shotgun sequencing of bacterial genomes,https://academic.oup.com/nar/article/49/19/e113/6355877,2021,True,False,False,False,False,False
Calling differentially methylated regions from whole genome bisulphite sequencing with DMRcate,https://academic.oup.com/nar/article/49/19/e109/6329576,2021,True,True,True,False,False,False
Epitome: predicting epigenetic events in novel cell types with multi-cell deep ensemble learning,https://academic.oup.com/nar/article/49/19/e110/6348191,2021,True,False,False,False,False,False
Single molecule characterization of the binding kinetics of a transcription factor and its modulation by DNA sequence and methylation,https://academic.oup.com/nar/article/49/19/10975/6381139,2021,True,False,False,False,False,False
Cooperative methylation of human tRNA,https://academic.oup.com/nar/article/49/20/11855/6381137,2021,True,False,False,False,False,False
Human MettL3-MettL14 RNA adenine methyltransferase complex is active on double-stranded DNA containing lesions,https://academic.oup.com/nar/article/49/20/11629/6292106,2021,True,False,False,False,False,False
DNA sequence and methylation prescribe the inside-out conformational dynamics and bending energetics of DNA minicircles,https://academic.oup.com/nar/article/49/20/11459/6414598,2021,True,False,False,False,False,False
Revealing structural peculiarities of homopurine GA repetition stuck by i-motif clip,https://academic.oup.com/nar/article/49/20/11425/6413599,2021,True,False,False,False,False,False
The chromatin remodeler RSF1 coordinates epigenetic marks for transcriptional repression and DSB repair,https://academic.oup.com/nar/article/49/21/12268/6439680,2021,True,False,False,False,False,False
BAF155 methylation drives metastasis by hijacking super-enhancers and subverting anti-tumor immunity,https://academic.oup.com/nar/article/49/21/12211/6431811,2021,True,True,True,False,False,False
