title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
The ubiquitin ligase RNF5 determines acute myeloid leukemia growth and susceptibility to histone deacetylase inhibitors,https://www.nature.com/articles/s41467-021-25664-7,2021,True,True,True,False,False,False
"DNA methylation landscapes of 1538 breast cancers reveal a replication-linked clock, epigenomic instability and ",https://www.nature.com/articles/s41467-021-25661-w,2021,True,False,True,False,False,False
SMARCA4/2 loss inhibits chemotherapy-induced apoptosis by restricting IP3R3-mediated Ca,https://www.nature.com/articles/s41467-021-25260-9,2021,True,True,True,False,False,False
Locus specific epigenetic modalities of random allelic expression imbalance,https://www.nature.com/articles/s41467-021-25630-3,2021,True,True,False,False,True,False
Conformational rearrangements enable iterative backbone ,https://www.nature.com/articles/s41467-021-25575-7,2021,True,True,False,False,False,False
β-actin dependent chromatin remodeling mediates compartment level changes in 3D genome architecture,https://www.nature.com/articles/s41467-021-25596-2,2021,True,True,True,False,False,False
Genome-wide sequencing-based identification of methylation quantitative trait loci and their role in schizophrenia risk,https://www.nature.com/articles/s41467-021-25517-3,2021,True,True,True,False,True,False
The concurrence of DNA methylation and demethylation is associated with transcription regulation,https://www.nature.com/articles/s41467-021-25521-7,2021,True,True,True,False,False,False
EpiScanpy: integrated single-cell epigenomic analysis,https://www.nature.com/articles/s41467-021-25131-3,2021,True,True,False,False,False,False
The PEMDAC phase 2 study of pembrolizumab and entinostat in patients with metastatic uveal melanoma,https://www.nature.com/articles/s41467-021-25332-w,2021,True,True,True,False,False,False
Comprehensive mapping of SARS-CoV-2 interactions in vivo reveals functional virus-host interactions,https://www.nature.com/articles/s41467-021-25357-1,2021,True,True,True,False,False,False
Epigenetic inactivation of the autophagy–lysosomal system in appendix in Parkinson’s disease,https://www.nature.com/articles/s41467-021-25474-x,2021,True,True,True,True,False,False
CTCF and transcription influence chromatin structure re-configuration after mitosis,https://www.nature.com/articles/s41467-021-25418-5,2021,True,True,True,False,False,False
Ten-eleven translocation 1 mediated-DNA hydroxymethylation is required for myelination and remyelination in the mouse brain,https://www.nature.com/articles/s41467-021-25353-5,2021,True,True,True,False,False,False
Placental DNA methylation signatures of maternal smoking during pregnancy and potential impacts on fetal growth,https://www.nature.com/articles/s41467-021-24558-y,2021,True,True,True,False,True,False
Epigenetic control of melanoma cell invasiveness by the stem cell factor SALL4,https://www.nature.com/articles/s41467-021-25326-8,2021,True,True,True,False,False,False
A single genetic locus controls both expression of ,https://www.nature.com/articles/s41467-021-25377-x,2021,True,True,False,False,False,False
DMRT1-mediated reprogramming drives development of cancer resembling human germ cell tumors with features of totipotency,https://www.nature.com/articles/s41467-021-25249-4,2021,True,True,False,False,False,False
Histone H4 lysine 20 mono-methylation directly facilitates chromatin openness and promotes transcription of housekeeping genes,https://www.nature.com/articles/s41467-021-25051-2,2021,True,True,True,False,False,False
LineageOT is a unified framework for lineage tracing and trajectory inference,https://www.nature.com/articles/s41467-021-25133-1,2021,True,False,False,False,False,False
Neuronal Nsun2 deficiency produces tRNA epitranscriptomic alterations and proteomic shifts impacting synaptic signaling and behavior,https://www.nature.com/articles/s41467-021-24969-x,2021,True,True,True,False,True,False
Topological isolation of developmental regulators in mammalian genomes,https://www.nature.com/articles/s41467-021-24951-7,2021,True,True,True,False,False,False
Conserved and species-specific chromatin remodeling and regulatory dynamics during mouse and chicken limb bud development,https://www.nature.com/articles/s41467-021-25935-3,2021,True,True,True,True,False,False
m,https://www.nature.com/articles/s41467-021-25105-5,2021,True,True,False,False,False,False
PRMT1-dependent regulation of RNA metabolism and DNA damage response sustains pancreatic ductal adenocarcinoma,https://www.nature.com/articles/s41467-021-24798-y,2021,True,True,True,False,False,False
An enzymatic activation of formaldehyde for nucleotide methylation,https://www.nature.com/articles/s41467-021-24756-8,2021,True,False,False,False,False,False
Functional and epigenetic phenotypes of humans and mice with DNMT3A Overgrowth Syndrome,https://www.nature.com/articles/s41467-021-24800-7,2021,True,True,True,False,True,False
A machine learning approach to brain epigenetic analysis reveals kinases associated with Alzheimer’s disease,https://www.nature.com/articles/s41467-021-24710-8,2021,True,True,False,False,False,False
Neonatal thyroxine activation modifies epigenetic programming of the liver,https://www.nature.com/articles/s41467-021-24748-8,2021,True,False,True,False,False,False
Massively parallel in vivo CRISPR screening identifies RNF20/40 as epigenetic regulators of cardiomyocyte maturation,https://www.nature.com/articles/s41467-021-24743-z,2021,True,True,False,False,False,False
Oncogenic enhancers drive esophageal squamous cell carcinogenesis and metastasis,https://www.nature.com/articles/s41467-021-24813-2,2021,True,True,True,False,False,False
Early-life social experience affects offspring DNA methylation and later life stress phenotype,https://www.nature.com/articles/s41467-021-24583-x,2021,True,True,True,False,False,False
TGFβ promotes fibrosis by MYST1-dependent epigenetic regulation of autophagy,https://www.nature.com/articles/s41467-021-24601-y,2021,True,True,True,False,False,False
Complete loss of H3K9 methylation dissolves mouse heterochromatin organization,https://www.nature.com/articles/s41467-021-24532-8,2021,True,True,True,False,False,False
Interplay and cooperation between SREBF1 and master transcription factors regulate lipid metabolism and tumor-promoting pathways in squamous cancer,https://www.nature.com/articles/s41467-021-24656-x,2021,True,True,True,False,False,False
Copper catalyzed late-stage C(sp,https://www.nature.com/articles/s41467-021-24671-y,2021,True,False,False,False,False,False
Arabidopsis MORC proteins function in the efficient establishment of RNA directed DNA methylation,https://www.nature.com/articles/s41467-021-24553-3,2021,True,False,True,False,False,False
Epigenetic memories and the evolution of infectious diseases,https://www.nature.com/articles/s41467-021-24580-0,2021,True,False,False,False,False,False
Mating can initiate stable RNA silencing that overcomes epigenetic recovery,https://www.nature.com/articles/s41467-021-24053-4,2021,True,False,False,False,False,False
Tissue-specific 5-hydroxymethylcytosine landscape of the human genome,https://www.nature.com/articles/s41467-021-24425-w,2021,True,True,False,False,True,False
Morphological screening of mesenchymal mammary tumor organoids to identify drugs that reverse epithelial-mesenchymal transition,https://www.nature.com/articles/s41467-021-24545-3,2021,True,False,False,False,False,False
Arginine methylation promotes siRNA-binding specificity for a spermatogenesis-specific isoform of the Argonaute protein CSR-1,https://www.nature.com/articles/s41467-021-24526-6,2021,True,True,True,False,False,False
The ,https://www.nature.com/articles/s41467-021-24528-4,2021,True,True,True,False,False,False
Chromatin states shaped by an epigenetic code confer regenerative potential to the mouse liver,https://www.nature.com/articles/s41467-021-24466-1,2021,True,True,True,False,False,False
α-TubK40me3 is required for neuronal polarization and migration by promoting microtubule formation,https://www.nature.com/articles/s41467-021-24376-2,2021,True,True,False,False,True,False
EZH2-induced lysine K362 methylation enhances TMPRSS2-ERG oncogenic activity in prostate cancer,https://www.nature.com/articles/s41467-021-24380-6,2021,True,True,False,False,False,False
The role of the PZP domain of AF10 in acute leukemia driven by AF10 translocations,https://www.nature.com/articles/s41467-021-24418-9,2021,True,True,False,True,False,False
Patient-derived models recapitulate heterogeneity of molecular signatures and drug response in pediatric high-grade glioma,https://www.nature.com/articles/s41467-021-24168-8,2021,True,True,False,False,False,False
